ID,NAME,POINTNUM,RTUID,RTUIDX,NEXTIDXINRTU,TYPE,VALUE,RAWVALUE,QUALITYCODE,CONTROLINHIBITFLAG,CHANGEREASON,TAGGINGFLAGS,TRIPCOUNT,FAULTTRIPCOUNT,TIMESTAMP,ALARMPROCMODE,ALARMPRIORITY,ALARMOPTIONFLAGS,ALARMDELAYEDTIME,TPINVOLVEDFLAG,TRIPCOUNTLIMIT,FAULTTRIPCOUNTLIMIT,REVERSEPOLARITY,STATUSTYPE,POINTADDRESS,GROUPADDRESS,IEDADDRESS,TWOBITTRANSITIONTIME,TWOBITLINKEDPOINTID,DIRECTALARMSUPPRESSPTTYPE,DIRECTALARMSUPPRESSRTUID,DIRECTALARMSUPPRESSPTNUM,DIRECTALARMSUPPRESSPTVALUE,AUTHORITYAREA,VOICEFILEID,VOICEFILEIDX,POPUPDISPLAYFILEID,POPUPDISPLAYFILEIDX,STATISTICSID,STATISTICSIDX,SAVEPERIODICITY,V2SGROUPID,MEASIDX,ALARMTYPE,LINKEDTYPE,DATASOURCE,NORMALSTATUS,EQUIPMENTCONTAINER_ID,EQUIPMENTCONTAINER_TABLEID,EQUIPMENTCONTAINER_IDX,ALIASNAME,PATHNAME,LNODE_ID,LNODE_IDX,LINKNEXT_IDX,FIS_TYPE,CPUNO,FIS_SUBTYPE,SUBSTATION_ID,SUBSTATION_IDX,NEXTIDXINSUBSTATION,FISPATHNAME,EXTFLAG,SCANINTERVAL,EXTFIELD0,VALUE2,QUALITYCODE2
2,YX_1_fj1,0,2,0,49,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115021,1073,0,风机状态_fj1,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj1,2,0,49,0,0,0,115020,-1,49,,0,900,-1,0,-1
3,YX_1_fj2,1,2,0,0,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115022,1073,1,风机状态_fj2,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj2,2,0,0,0,0,0,115020,-1,0,,0,900,-1,0,-1
4,YX_1_fj3,2,2,0,1,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115023,1073,2,风机状态_fj3,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj3,2,0,1,0,0,0,115020,-1,1,,0,900,-1,0,-1
5,YX_1_fj4,3,2,0,2,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115024,1073,3,风机状态_fj4,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj4,2,0,2,0,0,0,115020,-1,2,,0,900,-1,0,-1
6,YX_1_fj5,4,2,0,3,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115025,1073,4,风机状态_fj5,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj5,2,0,3,0,0,0,115020,-1,3,,0,900,-1,0,-1
7,YX_1_fj6,5,2,0,4,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115026,1073,5,风机状态_fj6,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj6,2,0,4,0,0,0,115020,-1,4,,0,900,-1,0,-1
8,YX_1_fj7,6,2,0,5,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115027,1073,6,风机状态_fj7,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj7,2,0,5,0,0,0,115020,-1,5,,0,900,-1,0,-1
9,YX_1_fj8,7,2,0,6,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115028,1073,7,风机状态_fj8,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj8,2,0,6,0,0,0,115020,-1,6,,0,900,-1,0,-1
10,YX_1_fj9,8,2,0,7,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115029,1073,8,风机状态_fj9,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj9,2,0,7,0,0,0,115020,-1,7,,0,900,-1,0,-1
11,YX_1_fj10,9,2,0,8,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115030,1073,9,风机状态_fj10,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj10,2,0,8,0,0,0,115020,-1,8,,0,900,-1,0,-1
12,YX_1_fj11,10,2,0,9,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115031,1073,10,风机状态_fj11,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj11,2,0,9,0,0,0,115020,-1,9,,0,900,-1,0,-1
13,YX_1_fj12,11,2,0,10,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115032,1073,11,风机状态_fj12,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj12,2,0,10,0,0,0,115020,-1,10,,0,900,-1,0,-1
14,YX_1_fj13,12,2,0,11,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115033,1073,12,风机状态_fj13,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj13,2,0,11,0,0,0,115020,-1,11,,0,900,-1,0,-1
15,YX_1_fj14,13,2,0,12,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115034,1073,13,风机状态_fj14,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj14,2,0,12,0,0,0,115020,-1,12,,0,900,-1,0,-1
16,YX_1_fj15,14,2,0,13,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115035,1073,14,风机状态_fj15,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj15,2,0,13,0,0,0,115020,-1,13,,0,900,-1,0,-1
17,YX_1_fj16,15,2,0,14,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115036,1073,15,风机状态_fj16,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj16,2,0,14,0,0,0,115020,-1,14,,0,900,-1,0,-1
18,YX_1_fj17,16,2,0,15,3170,0,0,0,0,0,0,0,0,1970-1-1 10:37:53:0,1,0,202,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,115037,1073,16,风机状态_fj17,LLPFd01/device1_LDevice_1/LNode_1.YX_1_fj17,2,0,15,0,0,0,115020,-1,15,,0,900,-1,0,-1
