ID,OBJ_TABLEID,OBJ_ID,FCST_NODETYPE,DATASRC_TYPE,ORDER,FCST_TIME,LIMIT_UPPER,LIMIT_LOWER,P,DAYTYPE,IS_MODIFY
2,1071,115020,1,0,1,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
3,1071,115020,1,0,2,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
4,1071,115020,1,0,3,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
5,1071,115020,1,0,4,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
6,1071,115020,1,0,5,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
7,1071,115020,1,0,6,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
8,1071,115020,1,0,7,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
9,1071,115020,1,0,8,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
10,1071,115020,1,0,9,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
11,1071,115020,1,0,10,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
12,1071,115020,1,0,11,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
13,1071,115020,1,0,12,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
14,1071,115020,1,0,13,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
15,1071,115020,1,0,14,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
16,1071,115020,1,0,15,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
17,1071,115020,1,0,16,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
18,1071,115020,1,0,17,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
19,1071,115020,1,0,18,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
20,1071,115020,1,0,19,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
21,1071,115020,1,0,20,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
22,1071,115020,1,0,21,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
23,1071,115020,1,0,22,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
24,1071,115020,1,0,23,1970-1-1 8:0:0:0,0.000000,0.000000,0.000000,0,0
