时间,测试光伏电厂
00:15,0.0
00:30,0.0
00:45,0.0
01:00,0.0
01:15,0.0
01:30,0.0
01:45,0.0
02:00,0.0
02:15,0.0
02:30,0.0
02:45,0.0
03:00,0.0
03:15,0.0
03:30,0.0
03:45,0.0
04:00,0.0
04:15,0.0
04:30,0.0
04:45,0.0
05:00,0.0
05:15,0.0
05:30,0.0
05:45,0.0
06:00,0.0
06:15,0.0
06:30,0.0
06:45,0.3
07:00,0.55
07:15,0.83
07:30,1.23
07:45,1.79
08:00,2.48
08:15,3.24
08:30,4.06
08:45,4.88
09:00,5.67
09:15,6.39
09:30,7.01
09:45,7.51
10:00,8.0
10:15,8.5
10:30,9.0
10:45,9.49
11:00,9.96
11:15,10.42
11:30,10.84
11:45,11.24
12:00,11.59
12:15,11.89
12:30,12.14
12:45,12.32
13:00,12.44
13:15,12.48
13:30,12.47
13:45,12.42
14:00,12.35
14:15,12.26
14:30,12.15
14:45,12.02
15:00,11.87
15:15,11.71
15:30,11.54
15:45,11.26
16:00,10.81
16:15,10.23
16:30,9.53
16:45,8.77
17:00,7.96
17:15,7.16
17:30,6.37
17:45,5.65
18:00,5.03
18:15,4.51
18:30,3.98
18:45,3.44
19:00,2.9
19:15,2.38
19:30,1.87
19:45,1.41
20:00,0.99
20:15,0.65
20:30,0.38
20:45,0.2
21:00,0.0
21:15,0.0
21:30,0.0
21:45,0.0
22:00,0.0
22:15,0.0
22:30,0.0
22:45,0.0
23:00,0.0
23:15,0.0
23:30,0.0
23:45,0.0
00:00,0.0
